Trial,switch,t_pos,t_frequency,resp_speed,Resp,Reward_midLeft,Reward_midRight,Reward_downLeft,Reward_downRight,Pval_midLeft,Pval_midRight,Pval_downLeft,Pval_downRight,simulated_RS
663,6,downRight,lowB,4.347006847505329,1,0,0,0,1,1.6938277342869216e-15,16.128254020791616,1.3128171520017148e-10,0.8323072000000004,4.157002133209004
664,6,midLeft,lowC,3.9311465220297817,1,1,0,0,0,0.8000000000000004,3.225650804158322,2.6256343040034285e-11,0.16646144,4.000547942195072
665,6,midLeft,lowC,6.033357585321055,1,1,0,0,0,0.96,0.6451301608316644,5.2512686080068556e-12,0.033292288,6.09284233830955
666,6,downRight,lowB,4.132109625502412,1,0,0,0,1,0.1919999999999999,0.1290260321663329,1.050253721601371e-12,0.8066584576,4.107121301482044
667,6,downLeft,lowA,3.952196361132338,1,0,0,1,0,0.0383999999999999,0.0258052064332665,0.8000000000002101,0.1613316915199999,4.087138032311473
668,6,downRight,lowB,4.468597367062162,0,0,0,0,0,0.0076799999999999,0.0051610412866533,0.160000000000042,0.0322663383039999,4.321892034257457
669,6,midRight,high,3.927990490019644,1,0,100,0,0,0.0015359999999999,80.00103220825734,0.0320000000000083,0.0064532676607999,3.95607357915672
670,6,downLeft,lowA,4.057283275022887,1,0,0,1,0,0.0003071999999999,16.00020644165147,0.8064000000000017,0.0012906535321599,4.078244575182589
671,6,downRight,lowB,4.006651991923833,1,0,0,0,1,6.14399999999999e-05,3.2000412883302936,0.1612800000000003,0.800258130706432,3.997292680738638
672,6,downLeft,lowA,4.289251703011898,1,0,0,1,0,1.2287999999999976e-05,0.6400082576660586,0.8322560000000001,0.1600516261412863,4.331565892943544
673,6,downLeft,lowA,6.05747260016445,1,0,0,1,0,2.457599999999995e-06,0.1280016515332117,0.9664512,0.0320103252282572,6.102117734996972
674,6,downLeft,lowA,6.494336884042514,0,0,0,0,0,4.915199999999987e-07,0.0256003303066423,0.1932902399999999,0.0064020650456514,6.350569877132987
675,6,midRight,high,3.989692045427848,1,0,100,0,0,9.830399999999973e-08,80.00512006606134,0.0386580479999999,0.0012804130091302,3.8970639823538167
676,6,midRight,high,204.08277287486808,1,0,100,0,0,1.9660799999999943e-08,96.00102401321227,0.0077316095999999,0.000256082601826,204.22016346858553
677,6,midRight,high,243.9663499155043,0,0,0,0,0,3.932159999999986e-09,19.20020480264245,0.0015463219199999,5.1216520365211565e-05,244.00423273366465
678,6,midLeft,lowC,4.00788815682264,1,1,0,0,0,0.8000000007864321,3.840040960528489,0.0003092643839999,1.0243304073042307e-05,4.066608127445017
679,6,downRight,lowB,4.072579736702312,1,0,0,0,1,0.1600000001572863,0.7680081921056976,6.185287679999989e-05,0.8000020486608147,4.087514153097776
680,6,midRight,high,5.973575931976949,1,0,100,0,0,0.0320000000314572,80.15360163842115,1.2370575359999978e-05,0.1600004097321629,5.967900483762224
681,6,downLeft,lowA,3.773281629052448,1,0,0,1,0,0.0064000000062914,16.03072032768422,0.8000024741150721,0.0320000819464325,3.976628510925417
682,6,downLeft,lowA,5.939117258973973,0,0,0,0,0,0.0012800000012582,3.206144065536844,0.1600004948230143,0.0064000163892865,6.051788613694726
683,6,downLeft,lowA,4.4234844421305,1,0,0,1,0,0.0002560000002516,0.6412288131073685,0.8320000989646029,0.0012800032778573,4.372960891198494
684,6,downLeft,lowA,6.170889561786645,0,0,0,0,0,5.1200000050331536e-05,0.1282457626214737,0.1664000197929205,0.0002560006555714,6.11545284751931
685,6,downLeft,lowA,4.52133249768035,1,0,0,1,0,1.0240000010066306e-05,0.0256491525242947,0.8332800039585841,5.1200131114292056e-05,4.363132748937965
686,6,midRight,high,3.8688179981102206,0,0,0,0,0,2.048000002013261e-06,0.0051298305048589,0.1666560007917168,1.0240026222858408e-05,4.171182732814429
687,6,downRight,lowB,3.9428609444927374,1,0,0,0,1,4.096000004026522e-07,0.0010259661009717,0.0333312001583433,0.8000020480052447,3.9289126319239998
688,6,downLeft,lowA,4.178631822167029,1,0,0,1,0,8.192000008053042e-08,0.0002051932201943,0.8066662400316688,0.1600004096010489,4.036203227943003
689,6,downRight,lowB,4.365824156047506,1,0,0,0,1,1.6384000016106076e-08,4.1038644038871546e-05,0.1613332480063337,0.8320000819202098,4.425888969264762
690,6,downRight,lowB,6.155310634143449,1,0,0,0,1,3.2768000032212143e-09,8.207728807774308e-06,0.0322666496012667,0.966400016384042,6.087449463146788
691,6,downRight,lowB,6.510908753598524,1,0,0,0,1,6.553600006442427e-10,1.6415457615548614e-06,0.0064533299202533,0.9932800032768084,6.279388407057941
692,6,midLeft,lowC,4.086882351377879,0,0,0,0,0,1.3107200012884854e-10,3.283091523109721e-07,0.0012906659840506,0.1986560006553616,3.746995922911308
693,6,midLeft,lowC,4.025030299152755,1,1,0,0,0,0.8000000000262144,6.566183046219442e-08,0.0002581331968101,0.0397312001310723,3.8632043727920258
694,6,midLeft,lowC,5.943282010102022,0,0,0,0,0,0.1600000000052428,1.3132366092438882e-08,5.162663936202674e-05,0.0079462400262144,6.111175028004782
695,6,midRight,high,3.856290404928439,1,0,100,0,0,0.0320000000010485,80.00000000262648,1.0325327872405346e-05,0.0015892480052428,4.185399238829896
696,6,downLeft,lowA,3.932691632267757,0,0,0,0,0,0.0064000000002097,16.00000000052529,2.0650655744810696e-06,0.0003178496010485,3.8806291361574785
697,6,downRight,lowB,3.769579838862141,1,0,0,0,1,0.0012800000000419,3.2000000001050566,4.130131148962138e-07,0.8000635699202098,3.9918158320579527
698,6,downRight,lowB,5.871824955009957,1,0,0,0,1,0.0002560000000083,0.6400000000210113,8.260262297924278e-08,0.960012713984042,6.148531184126034
699,6,downRight,lowB,6.524642473968265,1,0,0,0,1,5.120000000167767e-05,0.1280000000042022,1.6520524595848556e-08,0.9920025427968084,6.484210149831448
700,7,downRight,high,6.567737112959569,1,0,0,0,100,1.024000000033553e-05,0.0256000000008404,3.3041049191697102e-09,80.19840050855937,6.40977550087124
701,7,midRight,lowC,3.8694460453299406,1,0,1,0,0,2.048000000067105e-06,0.8051200000001681,6.60820983833942e-10,16.039680101711866,4.126378688482492
702,7,downLeft,lowA,3.90204473923392,0,0,0,0,0,4.096000000134209e-07,0.1610240000000335,1.3216419676678834e-10,3.207936020342373,4.186597398594998
