Trial,switch,t_pos,t_frequency,resp_speed,Resp,Reward_midLeft,Reward_midRight,Reward_downLeft,Reward_downRight,Pval_midLeft,Pval_midRight,Pval_downLeft,Pval_downRight
836,8,midLeft,lowC,5.185680274884234,1,1,0,0,0,0.21055873097331246,0.10111384905485701,0.0432878866733162,37.9351534938606
837,8,midLeft,lowC,6.568648834004653,1,1,0,0,0,0.35550828543267393,0.0825483040989381,0.03533978447374345,30.9698682813685
838,8,downLeft,lowA,5.292637915371571,1,0,0,1,0,0.2902332996904026,0.06739158456833998,0.21246134364634298,25.28348123121579
839,8,downLeft,lowA,6.453932885151814,1,0,0,1,0,0.23694347417714837,0.0550177949772095,0.3570615588070325,20.64117345806786
840,8,downLeft,lowA,7.102355184447043,1,0,0,1,0,0.19343820993326727,0.04491596070255187,0.4751116839425181,16.85124124442248
841,8,midLeft,lowC,6.292208536929562,1,1,0,0,0,0.34153126853186166,0.03666892732921933,0.3878762813763307,13.757179651369784
842,8,downLeft,lowA,7.449625029532459,1,0,0,1,0,0.2788226071659959,0.029936134292663036,0.5002685058136231,11.231219660017935
843,8,midRight,lowB,5.27134532128978,0,0,0,0,0,0.22762790242027475,0.024439551458442815,0.4084140514383936,9.16905196037138
844,8,downRight,high,63.29360342349681,1,0,0,0,100,0.18583307317475373,0.019952197890703037,0.3334250217111719,25.846550294982134
845,8,downRight,high,168.66240472390587,1,0,0,0,100,0.15171220539480507,0.016288768693103476,0.2722047508198062,39.461888025702734
846,8,downLeft,lowA,6.715200612451269,1,0,0,1,0,0.12385628065307393,0.01329798285837265,0.4058354605955613,32.2162786157677
847,8,midRight,lowB,5.161734985277792,1,0,1,0,0,0.10111499082946099,0.1944666440118057,0.3313198867268892,26.301037780370837
848,8,midLeft,lowC,5.694469368635131,1,1,0,0,0,0.26615954411220055,0.15876056363236002,0.2704861403181172,21.47189613594699
849,8,downLeft,lowA,6.626267941449354,1,0,0,1,0,0.21728990827249373,0.12961048766458116,0.4044324046972136,17.52943467565312
850,8,downRight,high,116.0878885371172,1,0,0,0,100,0.17739324131531095,0.10581266611997871,0.33017444635401033,32.671880565914314
851,8,midRight,lowB,5.675321448372311,1,0,1,0,0,0.1448220136615321,0.2699946777963049,0.26955101460476105,26.672986516180192
852,8,downRight,high,173.95289322654037,1,0,0,0,100,0.11823119914530114,0.22042087188009782,0.22005866982374844,40.13658203788323
853,8,midLeft,lowC,5.679247945493285,1,1,0,0,0,0.2801330401494269,0.179949327730961,0.1796536297056928,32.76709185264678
854,8,downLeft,lowA,6.223231769987224,1,0,0,1,0,0.2286977264001616,0.14690877626343612,0.3302776793238721,26.750716029242035
855,8,midLeft,lowC,6.492728719104227,1,1,0,0,0,0.3703167743245609,0.11993481062339659,0.2696352929372431,21.8390088230959
856,8,midLeft,lowC,7.397234363280195,1,1,0,0,0,0.4859331052578541,0.09791354311927586,0.2201274737856558,17.829141689287873
857,8,downLeft,lowA,6.535892925559076,0,0,0,0,0,0.396710778192256,0.07993560732149997,0.17970980055097097,14.555527494477214
858,8,midLeft,lowC,7.479985016192668,1,1,0,0,0,0.5074808979492094,0.06525860585060499,0.14671322874270976,11.882982609856882
859,8,downRight,high,80.32723239981374,1,0,0,0,100,0.4143021740334118,0.05327645313853984,0.11977516764315599,28.062175302349967
860,8,downLeft,lowA,5.910875437165064,0,0,0,0,0,0.33823202430368215,0.04349434717500509,0.09778321223578815,22.909670655296082
861,8,downLeft,lowA,5.731292517137623,1,0,0,1,0,0.27612913818632456,0.03550833669915214,0.26343951441190083,18.70321897284215
862,8,midRight,lowB,5.271072411518941,1,0,1,0,0,0.22542898210922677,0.21259894794575052,0.21506930406290947,15.269115178886963
863,8,downRight,high,101.59661034791505,0,0,0,0,0,0.18403789729902137,0.17356358965841506,0.17558036292832863,12.465548239832604
