Trial,switch,t_pos,t_frequency,resp_speed,Resp,Reward_midLeft,Reward_midRight,Reward_downLeft,Reward_downRight,Pval_midLeft,Pval_midRight,Pval_downLeft,Pval_downRight
827,8,downRight,lowB,6.264840708684682,1,0,0,0,1,0.005754755850669426,0.020651560045617454,0.0001,0.60658215083097
828,8,downLeft,lowA,3.231269001782808,1,0,0,1,0,0.003543247098232133,0.01271532313522714,0.3843539386453414,0.3734772597731014
829,8,midRight,high,3.2486096778946965,1,0,100,0,0,0.002181604280861022,0.9999,0.2366496534585004,0.22995279926476705
830,8,midRight,high,11.564116370070147,1,0,100,0,0,0.0013432304059871492,0.9999,0.1457069977724479,0.1415836935341857
831,8,midRight,high,11.59485136357288,1,0,100,0,0,0.0008270372126590734,0.9999,0.0897129105814777,0.08717416069243572
832,8,downRight,lowB,3.772412915013125,1,0,0,0,1,0.0005092131238796817,0.6156460613546586,0.05523692374452387,0.43796616394393195
833,8,downRight,lowB,6.899663047787,1,0,0,0,1,0.0003135264067473026,0.37905797865936997,0.034009795524216166,0.653951477631795
834,8,midRight,high,6.478722441301505,1,0,100,0,0,0.000193040601504806,0.9999,0.020940090671028082,0.40264291581265493
835,8,midLeft,lowC,3.1499779355116617,1,1,0,0,0,0.3844112244537848,0.6156460613546586,0.012892973643392208,0.2479103162840448
836,8,midLeft,lowC,6.2037625568315615,1,1,0,0,0,0.6209772926501007,0.37905797865936997,0.007938302272931129,0.15264027381684153
837,8,midLeft,lowC,8.372668264752452,1,1,0,0,0,0.766632826338689,0.23338889047574693,0.004887673295502333,0.09398178155759088
838,8,midRight,high,5.1753275765785824,1,0,100,0,0,0.47202168220882473,0.9999,0.0030093777513394895,0.05786530018504322
839,8,midRight,high,11.495208483736503,1,0,100,0,0,0.2906273522610894,0.9999,0.0018528968494254383,0.035628106958722726
840,8,downRight,lowB,3.454883443188412,1,0,0,0,1,0.17894147888936154,0.6156460613546586,0.001140842731718399,0.40622886525452695
841,8,downLeft,lowA,3.15235564407933,0,0,0,0,0,0.1101756342546387,0.37905797865936997,0.0007024255769652182,0.2501182127237942
842,8,downLeft,lowA,3.090850058838466,1,0,0,1,0,0.06783597888400812,0.23338889047574693,0.38472485667086187,0.15399969250572113
843,8,midLeft,lowC,3.670820769560814,0,0,0,0,0,0.0417671299310705,0.14369932111743913,0.23687803051770343,0.0948187860195777
844,8,midLeft,lowC,3.684023656172737,1,1,0,0,0,0.4100087085523485,0.08847676874216394,0.14584761127079982,0.05838065022040522
845,8,midLeft,lowC,6.719092742159961,0,0,0,0,0,0.25244549109047254,0.05447582177967817,0.08979948738559178,0.03594541190870733
846,8,downLeft,lowA,3.8877815711695343,1,0,0,1,0,0.1554326155581478,0.03354117923564076,0.43958259762571095,0.022131864451811686
847,8,midRight,high,3.3158363525080086,0,0,0,0,0,0.09570104767919443,0.020651560045617454,0.2706543603043491,0.013626757855978644
848,8,downRight,lowB,3.308615176717488,0,0,0,0,0,0.05892386545775622,0.01271532313522714,0.1666439553053677,0.008390098812948199
849,8,midLeft,lowC,3.8771759273685062,1,1,0,0,0,0.4205722415583567,0.007828921499204278,0.10260395512782418,0.00516584787335529
850,8,downLeft,lowA,3.947618489195265,1,0,0,1,0,0.2589495389844008,0.004820326718311754,0.4474664061398105,0.003180651961984722
851,8,downRight,lowB,3.2743051123324625,1,0,0,0,1,0.15943720748609957,0.0029679119497662346,0.27550848137663597,0.3862507195702343
852,8,midRight,high,3.1273999954655483,1,0,100,0,0,0.09816670549275197,0.9999,0.16963267469679894,0.23781751595041256
