Trial,switch,t_pos,t_frequency,resp_speed,Resp,Reward_midLeft,Reward_midRight,Reward_downLeft,Reward_downRight,Pval_midLeft,Pval_midRight,Pval_downLeft,Pval_downRight,simulated_RS
870,8,midLeft,lowB,4.058775107610168,1,1,0,0,0,0.8076800989648126,0.1600634881573299,0.0399959999999999,0.0002560063999999,4.157043973997342
871,8,downLeft,high,4.048132330315786,1,0,0,100,0,0.1615360197929625,0.032012697631466,0.9999,0.0001,4.091796823836413
872,8,downRight,lowA,3.855662323499175,1,0,0,0,1,0.0323072039585924,0.0064025395262931,0.1999799999999999,0.8000200000000001,4.08865794132229
873,8,downLeft,high,4.452978347158468,1,0,0,100,0,0.0064614407917184,0.0012805079052586,0.9999,0.1600039999999999,4.635435922660827
874,8,downLeft,high,6.62271134032503,1,0,0,100,0,0.0012922881583436,0.0002561015810517,0.9999,0.0320007999999999,6.589830586729328
875,8,midLeft,lowB,4.155144952589003,1,1,0,0,0,0.8002584576316688,0.0001,0.1999799999999999,0.0064001599999999,4.009702145572057
876,8,midRight,lowC,4.022988850616322,1,0,1,0,0,0.1600516915263337,0.8000200000000001,0.0399959999999999,0.0012800319999999,4.055362982224774
877,8,downRight,lowA,3.84704311904365,1,0,0,0,1,0.0320103383052667,0.1600039999999999,0.0079991999999999,0.8002560064,3.9935765897373234
878,8,midLeft,lowB,4.155062684349171,0,0,0,0,0,0.0064020676610533,0.0320007999999999,0.0015998399999999,0.1600512012799999,3.9244012020472656
879,8,downRight,lowA,4.401877033278942,1,0,0,0,1,0.0012804135322106,0.0064001599999999,0.0003199679999999,0.832010240256,4.464691811562756
880,8,midLeft,lowB,4.085634819750993,0,0,0,0,0,0.0002560827064421,0.0012800319999999,0.0001,0.1664020480511999,4.001636801867865
881,8,downLeft,high,3.782666824800172,1,0,0,100,0,0.0001,0.0002560063999999,0.9999,0.0332804096102399,3.918330031375972
882,8,midRight,lowC,4.11203158457886,1,0,1,0,0,0.0001,0.8000512012800001,0.1999799999999999,0.0066560819220479,4.075840861147881
883,8,downLeft,high,4.589376532700857,0,0,0,0,0,0.0001,0.1600102402559999,0.0399959999999999,0.0013312163844095,4.484149518585758
884,8,downRight,lowA,3.991495600068776,1,0,0,0,1,0.0001,0.0320020480511999,0.0079991999999999,0.800266243276882,4.00994696528307
885,8,downRight,lowA,5.891365187133025,0,0,0,0,0,0.0001,0.0064004096102399,0.0015998399999999,0.1600532486553764,5.977618538001357
