Trial,switch,t_pos,t_frequency,resp_speed,Resp,outcome_midLeft,outcome_midRight,outcome_downLeft,outcome_downRight,Pp_midLeft,Pp_midRight,Pp_downLeft,Pp_downRight
510,5,downRight,high,0.9922386250987595,1,0,0,0,1,0.1727981554015623,0.001894433459818168,0.008528780250065749,0.8167786308885538
511,5,midRight,lowA,0.29558243542688223,1,0,1,0,0,0.03838673019480662,0.7782730434843163,0.0018946497755676231,0.18144557654530946
513,5,downRight,high,1.0049032600289474,1,0,0,0,1,0.008527527690469525,0.17289164498716247,0.0004208922808194959,0.8181599350415485
514,5,downLeft,lowC,0.16387702557317735,1,0,0,1,0,0.001894371522208023,0.03840749870064003,0.7779456995520982,0.18175243022505372
515,5,downRight,high,1.1040727014192724,1,0,0,0,1,0.0004208304674476117,0.008532141368365123,0.17281892625253392,0.8182281019116534
516,5,midRight,lowA,0.24089125170639272,1,0,1,0,0,9.34865628288979e-05,0.7797475956981706,0.03839134439366951,0.181767573345331
517,5,midLeft,lowB,0.16147768493184977,1,1,0,0,0,0.7778729670918962,0.17321921351855019,0.008528552724599101,0.04037926666495456
518,5,downRight,high,0.3941836643207958,1,0,0,0,1,0.1728027688964574,0.03848026732948023,0.0018945992312855943,0.7868223645427768
520,5,downRight,high,3.673923660925752,1,0,0,0,1,0.038387755072551294,0.008548306759225015,0.00042088105251840316,0.9526430571157053
521,5,downRight,high,4.288982947594536,1,0,0,0,1,0.008527755364806534,0.0018989875466335305,9.349780019112463e-05,0.9894797592883688
522,5,downRight,high,4.350021984342693,1,0,0,0,1,0.0018944220995612748,0.0004218559071219115,2.077033068671398e-05,0.9976629516626301
523,5,midLeft,lowB,0.20027036540486767,1,1,0,0,0,0.7782730409606602,9.371436199733765e-05,4.614083282746625e-06,0.22162863059405968
524,5,downLeft,lowC,0.15569914729448625,1,0,0,1,0,0.17289164442653793,2.0818439415689005e-05,0.7778532242660184,0.04923431286802796
526,5,midRight,lowA,0.29221688254212336,1,0,1,0,0,0.038407498576098514,0.7778568240280959,0.17279838307110829,0.010937294324697387
527,5,downRight,high,0.24075538363750187,1,0,0,0,1,0.008532141340698497,0.1727991827503369,0.03838678077109556,0.780281895137869
529,5,downRight,high,3.4829106111943777,1,0,0,0,1,0.0018953964344597838,0.03838695841807749,0.00852753892588088,0.9511901062215818
530,5,midLeft,lowB,0.2547402981576824,1,1,0,0,0,0.778273257407015,0.008527578389767223,0.0018943740181299462,0.21130479018508774
531,5,downRight,high,1.2407563051619535,1,0,0,0,1,0.17289169250961955,0.0018943827849455053,0.0004208310219111777,0.8247930936835237
532,5,downRight,high,3.6084198934297604,1,0,0,0,1,0.03840750925764935,0.0004208329694399737,9.348668600175968e-05,0.961078171086909
