Trial,switch,t_pos,t_frequency,resp_speed,Resp,outcome_midLeft,outcome_midRight,outcome_downLeft,outcome_downRight,Pp_midLeft,Pp_midRight,Pp_downLeft,Pp_downRight,simulated_RS
209,2,midRight,lowB,2.184316560102003,1,0,1,0,0,0.1565983573561728,0.3317886851727896,0.1161165232179401,0.3954964342530974,2.1073164926708836
211,2,downRight,lowC,3.736828819633901,1,0,0,0,1,0.1096188501493209,0.2322520796209527,0.0812815662525581,0.5768475039771682,3.735558723973669
213,2,midRight,lowB,2.874518069602868,1,0,1,0,0,0.0767331951045247,0.4625764557346669,0.0568970963767906,0.4037932527840178,3.072326075184569
214,2,downLeft,high,2.0191359415746195,1,0,0,1,0,0.0537132365731672,0.3238035190142668,0.3398279674637534,0.2826552769488124,2.3283578822539948
215,2,downLeft,high,3.4365475660768614,1,0,0,1,0,0.0375992656012171,0.2266624633099868,0.5378795772246274,0.1978586938641687,3.6376056011877727
216,2,midLeft,lowA,2.0551106796810643,1,1,0,0,0,0.3263194859208519,0.1586637243169907,0.3765157040572392,0.1385010857049181,2.2287505605220526
217,2,downLeft,high,3.589410560345223,1,0,0,1,0,0.2284236401445963,0.1110646070218935,0.5635609928400674,0.0969507599934426,3.6732464355033474
218,2,midLeft,lowA,2.981034835933201,1,1,0,0,0,0.4598965481012174,0.0777452249153254,0.3944926949880472,0.0678655319954098,3.0690616835443967
219,2,downLeft,high,3.718780180269244,1,0,0,1,0,0.3219275836708522,0.0544216574407278,0.576144886491633,0.0475058723967869,3.844921938057155
220,2,midRight,lowB,2.2707083774905894,1,0,1,0,0,0.2253493085695965,0.3380951602085095,0.4033014205441431,0.0332541106777508,2.1653571624558436
221,2,downLeft,high,3.771194458375106,1,0,0,1,0,0.1577445159987175,0.2366666121459566,0.5823109943809002,0.0232778774744255,3.8105726132299447
222,2,downLeft,high,4.805335214512559,1,0,0,1,0,0.1104211611991023,0.1656666285021696,0.7076176960666302,0.0162945142320979,4.703303105447243
